"ID";"Regions";"Periods";"AveragePurchasePrice_1"
"466";"PV30  ";"2011JJ00";"  252551"
"467";"PV30  ";"2012JJ00";"  240127"
"468";"PV30  ";"2013JJ00";"  221039"
"469";"PV30  ";"2014JJ00";"  228412"
"470";"PV30  ";"2015JJ00";"  235669"
"471";"PV30  ";"2016JJ00";"  248763"
"472";"PV30  ";"2017JJ00";"  268514"
"473";"PV30  ";"2018JJ00";"  290569"
"474";"PV30  ";"2019JJ00";"  310254"
"475";"PV30  ";"2020JJ00";"  337960"
"476";"PV30  ";"2021JJ00";"  385036"
"477";"PV30  ";"2022JJ00";"  426539"
"478";"PV30  ";"2023JJ00";"  418547"
"479";"PV30  ";"2024JJ00";"  456420"
"480";"PV31  ";"1995JJ00";"   94311"
"481";"PV31  ";"1996JJ00";"  103070"
"482";"PV31  ";"1997JJ00";"  113429"
"483";"PV31  ";"1998JJ00";"  122198"
"484";"PV31  ";"1999JJ00";"  139342"
"485";"PV31  ";"2000JJ00";"  157384"
"486";"PV31  ";"2001JJ00";"  164674"
"487";"PV31  ";"2002JJ00";"  174831"
"488";"PV31  ";"2003JJ00";"  178283"
"489";"PV31  ";"2004JJ00";"  182746"
"490";"PV31  ";"2005JJ00";"  191026"
"491";"PV31  ";"2006JJ00";"  201145"
"492";"PV31  ";"2007JJ00";"  206883"
"493";"PV31  ";"2008JJ00";"  208894"
"494";"PV31  ";"2009JJ00";"  197055"
"495";"PV31  ";"2010JJ00";"  195206"
"496";"PV31  ";"2011JJ00";"  198167"
"497";"PV31  ";"2012JJ00";"  189845"
"498";"PV31  ";"2013JJ00";"  179427"
"499";"PV31  ";"2014JJ00";"  186408"
"500";"PV31  ";"2015JJ00";"  191829"
"501";"PV31  ";"2016JJ00";"  199165"
"502";"PV31  ";"2017JJ00";"  212920"
"503";"PV31  ";"2018JJ00";"  229286"
"504";"PV31  ";"2019JJ00";"  243850"
"505";"PV31  ";"2020JJ00";"  263910"
"506";"PV31  ";"2021JJ00";"  300777"
"507";"PV31  ";"2022JJ00";"  330567"
"508";"PV31  ";"2023JJ00";"  329001"
"509";"PV31  ";"2024JJ00";"  357532"
"510";"GM1680";"1995JJ00";""
"511";"GM1680";"1996JJ00";""
"512";"GM1680";"1997JJ00";""
"513";"GM1680";"1998JJ00";"  130136"
"514";"GM1680";"1999JJ00";"  159338"
"515";"GM1680";"2000JJ00";"  182830"
"516";"GM1680";"2001JJ00";"  216452"
"517";"GM1680";"2002JJ00";"  210945"
"518";"GM1680";"2003JJ00";"  205222"
"519";"GM1680";"2004JJ00";"  222208"
"520";"GM1680";"2005JJ00";"  231917"
"521";"GM1680";"2006JJ00";"  244657"
"522";"GM1680";"2007JJ00";"  265383"
"523";"GM1680";"2008JJ00";"  269367"
"524";"GM1680";"2009JJ00";"  227898"
"525";"GM1680";"2010JJ00";"  230392"
"526";"GM1680";"2011JJ00";"  236209"
"527";"GM1680";"2012JJ00";"  219111"
"528";"GM1680";"2013JJ00";"  213176"
"529";"GM1680";"2014JJ00";"  213509"
"530";"GM1680";"2015JJ00";"  241481"
"531";"GM1680";"2016JJ00";"  227275"
"532";"GM1680";"2017JJ00";"  241866"
"533";"GM1680";"2018JJ00";"  258980"
"534";"GM1680";"2019JJ00";"  284794"
"535";"GM1680";"2020JJ00";"  303789"
"536";"GM1680";"2021JJ00";"  393780"
"537";"GM1680";"2022JJ00";"  407982"
"538";"GM1680";"2023JJ00";"  411021"
"539";"GM1680";"2024JJ00";"  458471"
"540";"GM0738";"1995JJ00";"  102023"
"541";"GM0738";"1996JJ00";"  115362"
"542";"GM0738";"1997JJ00";"  130831"
"543";"GM0738";"1998JJ00";"  141027"
"544";"GM0738";"1999JJ00";"  171212"
"545";"GM0738";"2000JJ00";"  212336"
"546";"GM0738";"2001JJ00";"  239708"
"547";"GM0738";"2002JJ00";"  231182"
"548";"GM0738";"2003JJ00";"  258579"
"549";"GM0738";"2004JJ00";"  243096"
"550";"GM0738";"2005JJ00";"  281099"
"551";"GM0738";"2006JJ00";"  278193"
"552";"GM0738";"2007JJ00";"  296221"
"553";"GM0738";"2008JJ00";"  286518"
"554";"GM0738";"2009JJ00";"  242576"
"555";"GM0738";"2010JJ00";"  276192"
"556";"GM0738";"2011JJ00";"  266466"
"557";"GM0738";"2012JJ00";"  250662"
"558";"GM0738";"2013JJ00";"  229378"
"559";"GM0738";"2014JJ00";"  229823"
"560";"GM0738";"2015JJ00";"  230525"
"561";"GM0738";"2016JJ00";"  248188"
"562";"GM0738";"2017JJ00";"  279988"
"563";"GM0738";"2018JJ00";"  284120"
"564";"GM0738";"2019JJ00";""
"565";"GM0738";"2020JJ00";""
